,SIC Code,Office,Industry Title
310,5211,Office of Trade & Services,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
311,5271,Office of Trade & Services,RETAIL-MOBILE HOME DEALERS
312,5311,Office of Trade & Services,RETAIL-DEPARTMENT STORES
313,5331,Office of Trade & Services,RETAIL-VARIETY STORES
314,5399,Office of Trade & Services,RETAIL-MISC GENERAL MERCHANDISE STORES
315,5400,Office of Trade & Services,RETAIL-FOOD STORES
316,5411,Office of Trade & Services,RETAIL-GROCERY STORES
317,5412,Office of Trade & Services,RETAIL-CONVENIENCE STORES
318,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS
319,5531,Office of Trade & Services,RETAIL-AUTO & HOME SUPPLY STORES
320,5600,Office of Trade & Services,RETAIL-APPAREL & ACCESSORY STORES
321,5621,Office of Trade & Services,RETAIL-WOMEN'S CLOTHING STORES
322,5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES
323,5661,Office of Trade & Services,RETAIL-SHOE STORES
324,5700,Office of Trade & Services,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES"
325,5712,Office of Trade & Services,RETAIL-FURNITURE STORES
326,5731,Office of Trade & Services,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES"
327,5734,Office of Trade & Services,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES
328,5735,Office of Trade & Services,RETAIL-RECORD & PRERECORDED TAPE STORES
329,5810,Office of Trade & Services,RETAIL-EATING & DRINKING PLACES
330,5812,Office of Trade & Services,RETAIL-EATING PLACES
331,5900,Office of Trade & Services,RETAIL-MISCELLANEOUS RETAIL
332,5912,Office of Trade & Services,RETAIL-DRUG STORES AND PROPRIETARY STORES
333,5940,Office of Trade & Services,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES
334,5944,Office of Trade & Services,RETAIL-JEWELRY STORES
335,5945,Office of Trade & Services,"RETAIL-HOBBY, TOY & GAME SHOPS"
336,5960,Office of Trade & Services,RETAIL-NONSTORE RETAILERS
337,5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES
338,5990,Office of Trade & Services,"RETAIL-RETAIL STORES, NEC"
339,6021,Office of Finance,NATIONAL COMMERCIAL BANKS
340,6022,Office of Finance,STATE COMMERCIAL BANKS
341,6029,Office of Finance,"COMMERCIAL BANKS, NEC"
342,6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
343,6036,Office of Finance,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
344,6099,Office of Finance,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC"
345,6111,Office of Finance,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES
346,6141,Office of Finance,PERSONAL CREDIT INSTITUTIONS
347,6153,Office of Finance,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
348,6159,Office of Finance,MISCELLANEOUS BUSINESS CREDIT INSTITUTION
349,6162,Office of Finance,MORTGAGE BANKERS & LOAN CORRESPONDENTS
350,6163,Office of Finance,LOAN BROKERS
351,6172,Office of Finance,FINANCE LESSORS
352,6189,Office of Structured Finance,ASSET-BACKED SECURITIES
353,6199,Office of Finance,FINANCE SERVICES
354,6200,Office of Finance,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
355,6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
356,6221,Office of Finance,COMMODITY CONTRACTS BROKERS & DEALERS
357,6282,Office of Finance,INVESTMENT ADVICE
358,6311,Office of Finance,LIFE INSURANCE
359,6321,Office of Finance,ACCIDENT & HEALTH INSURANCE
